scenario,gradient_boosting,lasso,ols,random_forest,ridge
normal,1.3110696128945776,2.665320577649672,2.668609091482875,2.2925816025671972,2.668302823867349
skewed,1.5252014620736412,2.663935342168787,2.6674496587492063,2.297622600568293,2.667227635307546
t1,16.51006745241485,3.983778409238417,3.9969296005041923,5.537144036514393,3.993313391361914
t3,1.3247728582573146,2.6734511140331483,2.6767218190974855,2.16698405794233,2.6762546090944364
