scenario,gradient_boosting,lasso,ols,random_forest,ridge
normal,1.6288270184090738,2.8161605048460228,2.8195259058173217,2.5050681804175583,2.8192094117843802
skewed,2.927622183688407,3.5971241592854293,3.6015196845614086,3.397510140823142,3.601192729524688
t1,17.286494014522617,6.293807056467836,6.3049516363726354,6.607220492556214,6.30201782985333
t3,1.8453426383360219,2.9957158521503477,2.999140774394912,2.49204524611221,2.9986814400778408
