scenario,gradient_boosting,lasso,ols,random_forest,ridge
normal,1.2286184921355034,2.143840042600698,2.1434142052990532,1.9891451591327443,2.1437823015233897
skewed,2.210209009478125,2.742235317268278,2.7440323812893226,2.649882135271627,2.744192273048449
t1,6.473950205121738,4.209635027833664,4.218583409124154,4.163479887165295,4.216175198854159
t3,1.4174205850713852,2.3292108166946632,2.330546527376103,1.9764972230981122,2.330694690135486
